athlete_id,athlete_name,country_code,gender,sports,events
333,BURY Dominik,POL,M,Cross-Country Skiing,Men's 10km Interval Start Free/Men's 10km + 10km Skiathlon
334,BUTA George,ROU,M,Biathlon,Men's 20km Individual/Men's 10km Sprint
335,BUZATOIU Ioana-Corina,ROU,F,Luge,Women's Singles/Team Relay
336,CABECA Jose,POR,M,Cross-Country Skiing,Men's 10km Interval Start Free/Men's Sprint Classic
337,CABROL Camille,FRA,F,Freestyle Skiing,Women's Moguls/Women's Dual Moguls
338,CACINA Daniel Andrei,ROU,M,Ski Jumping,Men's NH Individual/Mixed Team
339,CACKETT Greg,GBR,M,Bobsleigh,4-man
340,CAFFONT Elisa,ITA,F,Snowboard,Women's Parallel Giant Slalom
341,CAI Xuetong,CHN,F,Snowboard,Women's Snowboard Halfpipe
342,CAJANOVA Sara,CZE,F,Ice Hockey,Women
343,CAKMAKLI Sabrina,GER,F,Freestyle Skiing,Women's Freeski Halfpipe
344,CAMINAL SANTURE Jordina,AND,F,Alpine Skiing,Women's Downhill/Women's Super-G
345,CANTAGALLO Enzo,FRA,M,Ice Hockey,Men
346,CANTER Jake,USA,M,Snowboard,Men's Snowboard Slopestyle/Men's Snowboard Big Air
