date,time,sport,event,gender,country_code,athlete_name,position
02/18/2026,05:16,Snowboard,Men's Slopestyle,Men,JPN,HASEGAWA T,2
02/18/2026,05:16,Snowboard,Men's Slopestyle,Men,USA,CANTER J,3
02/18/2026,06:30,Alpine Skiing,Women's Slalom,Women,USA,SHIFFRIN M,1
02/18/2026,06:30,Alpine Skiing,Women's Slalom,Women,SUI,RAST C,2
02/18/2026,06:30,Alpine Skiing,Women's Slalom,Women,SWE,SWENN LARSSON A,3
02/18/2026,06:00,Freestyle Skiing,Women's Aerials,Women,CHN,XU M,1
02/18/2026,06:00,Freestyle Skiing,Women's Aerials,Women,AUS,SCOTT D,2
02/18/2026,06:00,Freestyle Skiing,Women's Aerials,Women,CHN,SHAO Q,3
02/18/2026,08:26,Snowboard,Women's Slopestyle,Women,JPN,FUKADA M,1
02/18/2026,08:26,Snowboard,Women's Slopestyle,Women,NZL,SADOWSKI SYNNOTT Z,2
02/18/2026,08:26,Snowboard,Women's Slopestyle,Women,JPN,MURASE K,3
02/18/2026,14:32,Short Track Speed Skating,Men's 500 m,Men,CAN,DUBOIS S,1
02/18/2026,14:32,Short Track Speed Skating,Men's 500 m,Men,NED,van 'T WOUT M,2
02/18/2026,14:32,Short Track Speed Skating,Men's 500 m,Men,NED,van 'T WOUT J,3
02/19/2026,06:55,Ski Mountaineering,Women's Sprint,Women,SUI,FAITTON M,1
02/19/2026,06:55,Ski Mountaineering,Women's Sprint,Women,FRA,HARROP E,2
02/19/2026,06:55,Ski Mountaineering,Women's Sprint,Women,ESP,ALONSO RODRIGUEZ A,3
02/19/2026,07:15,Ski Mountaineering,Men's Sprint,Men,ESP,CARDONA COLL O,1
02/19/2026,07:15,Ski Mountaineering,Men's Sprint,Men,AIN,FILIPPOV N,2
02/19/2026,07:15,Ski Mountaineering,Men's Sprint,Men,FRA,ANSELMET T,3
02/19/2026,09:30,Speed Skating,Men 1500 m,Men,CHN,NING Z,1
02/19/2026,09:30,Speed Skating,Men 1500 m,Men,USA,STOLZ J,2
02/19/2026,09:30,Speed Skating,Men 1500 m,Men,NED,NUIS K,3
02/19/2026,12:00,Figure Skating,Women Single Skating -Free Skating,Women,USA,LIU A,1
02/19/2026,12:00,Figure Skating,Women Single Skating -Free Skating,Women,JPN,SAKAMOTO K,2
02/19/2026,12:00,Figure Skating,Women Single Skating -Free Skating,Women,JPN,NAKAI A,3
02/20/2026,06:15,Freestyle Skiing,Women's Ski Cross,Women,GER,MAIER D,1
02/20/2026,06:15,Freestyle Skiing,Women's Ski Cross,Women,SUI,SMITH F,2
02/20/2026,06:15,Freestyle Skiing,Women's Ski Cross,Women,SWE,NAESLUND S,3
02/20/2026,07:15,Biathlon,Men's 15 km Mass Start,Men,NOR,DALE_SKJEVEDAL J,1
02/20/2026,07:15,Biathlon,Men's 15 km Mass Start,Men,NOR,LAEGREID Sturia H,2
02/20/2026,07:15,Biathlon,Men's 15 km Mass Start,Men,FRA,FILLON MAILLET Q,3
02/20/2026,07:30,Freestyle Skiing,Men's Aerials,Men,CHN,WANG X,1
02/20/2026,07:30,Freestyle Skiing,Men's Aerials,Men,SUI,ROTH N,2
02/20/2026,07:30,Freestyle Skiing,Men's Aerials,Men,CHN,LI T,3
02/20/2026,09:30,Speed Skating,Women's 1500 m,Women,NED,RIJPMA-de JONG A,1
02/20/2026,09:30,Speed Skating,Women's 1500 m,Women,NOR,WIKLUND R,2
02/20/2026,09:30,Speed Skating,Women's 1500 m,Women,CAN,MALTAIS V,3
02/20/2026,13:28,Freestyle Skiing,Men's Freeski Halfpipe,Men,USA,FERREIRA A,1
