athlete_id,event_id,ranking
1273,21,NULL
1274,15,NULL
1274,91,2
1275,15,NULL
1275,91,1
1276,63,NULL
1277,117,NULL
1278,48,2
1278,50,1
1280,11,NULL
1280,13,NULL
1280,15,NULL
1281,59,NULL
1283,12,NULL
1283,14,1
1284,15,NULL
1284,91,NULL
1285,88,NULL
1287,6,NULL
1289,30,1
1289,26,1
1289,27,1
1290,54,NULL
1292,30,NULL
1292,26,NULL
1293,108,NULL
1293,105,NULL
1293,112,NULL
1294,12,NULL
1294,14,NULL
1295,120,NULL
1296,88,NULL
1297,15,NULL
1297,91,NULL
1300,57,NULL
1302,118,NULL
1306,12,NULL
1306,14,NULL
1308,83,NULL
1309,57,NULL
1310,63,NULL
1311,95,NULL
1312,12,NULL
1312,14,NULL
1315,47,NULL
1315,49,NULL
1316,45,NULL
1316,51,NULL
1317,63,NULL
1318,62,NULL
1320,46,NULL
1320,52,NULL
1321,109,1
1321,104,2
1321,113,NULL
1322,117,NULL
1323,117,NULL
1325,48,NULL
1325,50,NULL
1326,29,NULL
1326,28,NULL
1327,82,NULL
1328,45,NULL
1329,53,NULL
1330,112,NULL
1330,103,NULL
1331,69,NULL
1332,30,NULL
1332,26,NULL
1333,108,NULL
1333,105,NULL
1335,82,NULL
1336,30,NULL
1336,26,NULL
1336,27,NULL
1338,102,NULL
1339,108,NULL
1340,92,NULL
1341,117,NULL
1343,69,NULL
1346,93,NULL
1347,55,NULL
1348,45,NULL
1348,51,NULL
1349,83,NULL
1350,117,NULL
1351,82,NULL
1355,12,NULL
1355,14,NULL
1356,53,NULL
1357,83,NULL
1358,29,NULL
1359,29,NULL
1359,28,NULL
1360,6,NULL
1362,92,NULL
1365,54,NULL
1366,11,NULL
1366,13,NULL
1366,15,NULL
1368,29,NULL
1368,28,NULL
1369,116,NULL
1369,4,NULL
1370,117,NULL
1371,117,NULL
1373,93,NULL
1374,48,NULL
1374,50,NULL
1375,55,NULL
1376,45,NULL
1376,51,NULL
1377,72,NULL
1377,73,3
1378,5,NULL
1379,71,NULL
1380,69,NULL
1382,96,NULL
1383,92,NULL
1384,12,NULL
1384,14,NULL
1386,53,NULL
1388,11,NULL
1388,13,NULL
1390,40,NULL
1394,41,NULL
1396,108,NULL
1397,12,NULL
